date,open,high,low,close,adj close,volume,symbol
20181018,54.465,54.935001,53.25,54.005001,51.863895,130325200,1
20181018,17.952667,18.066668,17.533333,17.594,17.594,81318000,4
20181018,109.019997,109.839996,107.809998,108.089996,94.207008,17582500,3
20181019,145.339996,146.770004,142.610001,142.929993,142.929993,14855100,2
20181019,54.514999,55.314999,54.357498,54.827499,52.653782,132314800,1
20181019,17.826,17.977333,16.9,17.333332,17.333332,140632500,4
20181019,107.650002,109.220001,107.269997,107.910004,94.050125,15234500,3
20181022,148.990005,150.199997,146.100006,148.800003,148.800003,22589300,2
20181022,54.947498,55.84,54.735001,55.162498,52.975498,115168400,1
20181022,17.378668,17.457333,16.839333,17.396667,17.396667,84004500,4
20181022,108.150002,108.339996,106.110001,106.360001,92.699203,16199100,3
20181023,143.220001,147.509995,142.619995,146.649994,146.649994,19950500,2
20181023,53.9575,55.8125,53.674999,55.682499,53.47488,155071200,1
20181023,17.591333,19.862,17.473333,19.609333,19.609333,285417000,4
20181023,104.199997,106.160004,103.699997,105.25,91.731789,21407500,3
20181024,145.179993,146.690002,139.339996,139.610001,139.610001,18512300,2
20181024,55.650002,56.057499,53.634998,53.772499,51.640602,163702000,1
20181024,20.07,20.296,19.048668,19.233334,19.233334,300874500,4
20181024,104.760002,105.029999,102.910004,103.290001,90.023514,23168900,3
20181025,142.5,144.910004,141.009995,144.600006,144.600006,13655100,2
20181025,54.427502,55.345001,54.1875,54.950001,52.771423,119423200,1
20181025,21.148001,21.4,20.067333,20.990667,20.990667,312610500,4
20181025,104.18,105.900002,103.720001,104.860001,91.391861,17464700,3
20181026,139,145.828995,138.550003,142.869995,142.869995,19476900,2
20181026,53.974998,55.047501,53.1675,54.075001,51.931118,189033600,1
20181026,20.549999,22.66,20.443333,22.059999,22.059999,411382500,4
20181026,104,104.559998,102.730003,103.419998,90.136818,19174900,3
20181029,142.419998,144,131.360001,133.380005,133.380005,35121700,2
20181029,54.797501,54.922501,51.522499,53.060001,50.95636,183742000,1
20181029,22.497999,23.143999,21.766666,22.323334,22.323334,217290000,4
20181029,104.459999,106.629997,103.699997,104.849998,91.383148,18445200,3
20181030,132.279999,136.399994,130.059998,136.330002,136.330002,25230000,2
20181030,52.787498,53.794998,52.317501,53.325001,51.21085,146640000,1
20181030,21.892668,22.526667,21.483999,21.993334,21.993334,136900500,4
20181030,105.709999,106.980003,104.860001,106.699997,92.995537,18019700,3
20181031,141.350006,142.649994,139.139999,142.279999,142.279999,23654600,2
20181031,54.220001,55.112499,54.154999,54.715,52.545746,153435600,1
20181031,22.169333,22.799999,21.940001,22.488001,22.488001,114364500,4
20181031,108.080002,110.480003,107.790001,109.019997,95.017563,20860000,3
20181101,144.979996,152.317993,138.619995,151.25,151.25,47039300,2
20181101,54.762501,55.59,54.202499,55.555,53.352436,233292800,1
20181101,22.550667,23.189333,22.315332,22.952,22.952,120001500,4
20181101,109.620003,110.220001,108.32,108.980003,94.982704,13065000,3
20181102,152.559998,154.360001,146.279999,147.589996,147.589996,45985800,2
20181102,52.387501,53.412498,51.357498,51.869999,49.81353,365314800,1
20181102,22.916,23.280001,22.727333,23.094,23.094,117120000,4
20181102,109.900002,110.809998,107.489998,108.379997,94.459755,19009200,3
20181105,146.220001,149.369995,144.229996,144.639999,144.639999,16197300,2
20181105,51.075001,51.0975,49.5425,50.397499,48.399414,264654800,1
20181105,22.700001,22.930668,22.009333,22.76,22.76,117465000,4
20181105,108.610001,109.290001,108.419998,109.089996,95.07856,10276400,3
20181106,145.869995,149.960007,145.324997,147.440002,147.440002,17849800,2
20181106,50.48,51.18,50.422501,50.942501,48.922806,127531600,1
20181106,22.604668,23.253332,22.406,22.737333,22.737333,101443500,4
20181106,108.669998,109.669998,107.760002,109.599998,95.523056,10825000,3
20181107,150.770004,152.800003,148.940002,152.5,152.5,17884400,2
20181107,51.4925,52.514999,51.032501,52.487499,50.406563,133697600,1
20181107,22.889334,23.412001,22.719999,23.210667,23.210667,110617500,4
20181107,110.370003,111.730003,109.349998,111.480003,97.161598,12679600,3
20181108,150.990005,151.880005,146.690002,148.990005,148.990005,17067100,2
20181108,52.494999,52.529999,51.6875,52.122501,50.230679,101450400,1
20181108,23.233334,23.838667,23.229334,23.426666,23.426666,106360500,4
20181108,111.010002,112.93,111,112.379997,97.945999,11662500,3
20181109,145.570007,145.720001,142.479996,144.850006,144.850006,16220000,2
20181109,51.387501,51.502499,50.5625,51.1175,49.262161,137463200,1
20181109,23.266666,23.6,23.015333,23.367332,23.367332,76482000,4
20181109,112.230003,112.360001,110.830002,111.290001,96.996002,10432200,3
20181112,145.009995,146.406006,139.970001,142.820007,142.820007,16516500,2
20181112,49.75,49.962502,48.447498,48.5425,46.780613,204542000,1
20181112,23.224667,23.318666,22.022667,22.085333,22.085333,104122500,4
20181112,111.419998,111.940002,108.599998,108.949997,94.956543,13279700,3
20181113,144.830002,149.940002,143.910004,146.979996,146.979996,19575100,2
20181113,47.907501,49.294998,47.862499,48.057499,46.313217,187531600,1
20181113,22.210667,22.98,22.146667,22.582001,22.582001,81729000,4
20181113,109.099998,111.120003,109.099998,109.589996,95.514336,13746100,3
20181114,150.210007,152.149994,148.440002,150.440002,150.440002,21786000,2
20181114,48.474998,48.619999,46.482498,46.700001,45.004993,243204000,1
20181114,22.846666,23.140667,22.476667,22.933332,22.933332,75604500,4
20181114,110.230003,110.709999,105.980003,107.330002,93.544632,18361400,3
20181115,152.899994,157.399994,150.889999,156.220001,156.220001,30083500,2
20181115,47.0975,47.9925,46.724998,47.852501,46.115662,185915200,1
20181115,22.822001,23.238667,22.602667,23.229334,23.229334,69385500,4
20181115,108.239998,110.080002,106.809998,110.07,95.932709,19100000,3
20181116,155.039993,155.800003,152.141998,154.100006,154.100006,20039400,2
20181116,47.625,48.7425,47.365002,48.3825,46.626427,147713200,1
20181116,23.012667,23.713333,23.007999,23.620667,23.620667,108093000,4
20181116,109.449997,110.760002,108.550003,109.989998,95.862968,13798600,3
20181119,152.020004,153.210007,148.770004,149.529999,149.529999,18087800,2
20181119,47.5,47.674999,46.247501,46.465,44.778515,167701200,1
20181119,23.756001,24.450001,23.525333,23.564667,23.564667,145633500,4
20181119,109.959999,111.199997,109.529999,110.830002,96.595078,13987000,3
20181120,144.479996,148.070007,142.820007,145.979996,145.979996,19473200,2
20181120,44.592499,45.3675,43.877499,44.244999,42.639103,271300800,1
20181120,22.783333,23.32,22.236668,23.166,23.166,120070500,4
20181120,109.779999,110.489998,107.980003,108.449997,94.520767,18936200,3
20181121,149.059998,151.479996,148.649994,149.410004,149.410004,14718600,2
20181121,44.932499,45.067501,44.137501,44.195,42.590916,124496800,1
20181121,23.466667,23.540001,22.493334,22.546,22.546,70302000,4
20181121,109.029999,109.610001,107.639999,107.639999,93.814789,10619600,3
20181123,147.300003,151.169998,147,150.330002,150.330002,7437500,2
20181123,43.735001,44.150002,43.025002,43.072498,41.509151,94496000,1
20181123,22.290001,22.5,21.703333,21.722,21.722,63039000,4
20181123,106.739998,107.389999,106.059998,106.650002,92.951981,6488400,3
20181126,153.210007,156.529999,152.369995,156.009995,156.009995,16152700,2
20181126,43.560001,43.737499,42.564999,43.654999,42.070515,179994000,1
20181126,21.666668,23.081333,21.666668,23.066668,23.066668,119881500,4
20181126,107.720001,109.980003,107.449997,109.260002,95.22673,13948300,3
20181127,154.639999,157.940002,153.580002,156.460007,156.460007,17911800,2
20181127,42.877499,43.692501,42.720001,43.560001,41.978962,165549600,1
